BARCODE,ASSET DESCRIPTION,SERIAL NO,CATEGORY_1,CATEGORY_2,CATEGORY_3,CATEGORY_4,USAGE_YES/NO,REPUNIT_1,REPUNIT_2,LOCATION_1,LOCATION_2,LOCATION_3,FLOOR NUMBER,ROOM TYPE,VERIFICATION DATE,OWNERSHIP,DUPLICATE BARCODE,ASSET CONDITION,OWNER,LEASED,VIN NUMBER,DATE OF VERIFICATION,SUPPLIER NAME,GAMAP FUNDING,GFS FUNDING,QUANTITY,WIDTH,GRADING,DIAMETRE,LENGTH,FROM NODE,TO NODE,NODE LAYER,LAT,LONG,GIS_ID,,,,
,TERABYTE EXTERNAL HARD DRIVE,,,,TERABYTE EXTERNAL HARD DRIVE,,,,TOKOLOGO,,,,,,,EXCELLENT,TECHNICAL,,,,PAPRENAX TRADING CC,,,1.00,,,,,,,,,,,,,,,,
,TERABYTE EXTERNAL HARD DRIVE,,,,TERABYTE EXTERNAL HARD DRIVE,,,,TOKOLOGO,,,,,,,EXCELLENT,TECHNICAL,,,,PAPRENAX TRADING CC,,,1.00,,,,,,,,,,,,,,,,
,SHREDDER,,,,SHREDDER,GBC CC175,,,TOKOLOGO,,,,,,,EXCELLENT,FINANCE,,,,MAMELLO TRADING,,,1.00,,,,,,,,,,,,,,,,
,ALCOHOL TESTER & PRINTER,,,,ALCOHOL TESTER & PRINTER,,,,TOKOLOGO,,,,,,,EXCELLENT,TECHNICAL,,,,NOVAGEN AFRICA,,,1.00,,,,,,,,,,,,,,,,
,ALCOHOL TESTER & PRINTER,,,,ALCOHOL TESTER & PRINTER,,,,TOKOLOGO,,,,,,,EXCELLENT,TECHNICAL,,,,NOVAGEN AFRICA,,,1.00,,,,,,,,,,,,,,,,
,SHREDDER,,,,SHREDDER,AUTO PLUS 250X-301420,,,TOKOLOGO,,,,,,,EXCELLENT,FINANCE,,,,FIRST TECHNOLOGY,,,1.00,,,,,,,,,,,,,,,,
A04803,RESERVOIR,N/A,,,RESERVOIR,STEEL,,,,DEALESVILLE,BOREHOLE 18 (OLD),N/A,N/A,N/A,2012/06/30,TECHNICAL SERVICES,N/A,,MR. W MOREMI,N/A,N/A,2012/06/30,N/A,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28°40.533'S,25°45.545'E,N/A,,,,
A04804,METER,110140969,,,METER,SENSUS P10 KPA,,,,DEALESVILLE,BOREHOLE 18 (OLD),N/A,N/A,N/A,2012/06/30,TECHNICAL SERVICES,N/A,,MR. W MOREMI,N/A,N/A,2012/06/30,N/A,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28°40.533'S,25°45.545'E,N/A,,,,
A04807,METER,110140960,,,METER,SENSUS P10 KPA,,,,DEALESVILLE,BOREHOLE 18 (OLD),N/A,N/A,N/A,2012/06/30,TECHNICAL SERVICES,N/A,,MR. W MOREMI,N/A,N/A,2012/06/30,N/A,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28°40.536'S,25°45.548'E,N/A,,,,
A04808,RESERVOIR,N/A,,,RESERVOIR,STEEL,,,,DEALESVILLE,BOREHOLE 18 (OLD),N/A,N/A,N/A,2012/06/30,TECHNICAL SERVICES,N/A,,MR. W MOREMI,N/A,N/A,2012/06/30,N/A,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28°40.536'S,25°45.548'E,N/A,,,,
A04809,VALVE NON RETURN,,,,VALVE NON RETURN,N/A,,,,DEALESVILLE,BOREHOLE 18 (OLD),N/A,N/A,N/A,2012/06/30,TECHNICAL SERVICES,N/A,,MR. W MOREMI,N/A,N/A,2012/06/30,N/A,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28°40.536'S,25°45.548'E,N/A,,,,
CANNOT TAG,VALVE STOP,N/A,,,VALVE STOP,N/A,,,,DEALESVILLE,BOREHOLE 18 (OLD),N/A,N/A,N/A,2012/06/30,TECHNICAL SERVICES,N/A,,MR. W MOREMI,N/A,N/A,2012/06/30,N/A,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28°40.536'S,25°45.550'E,N/A,,,,
A04810,GRUNDFOS,1718,,,GRUNDFOS,15KW Y96123532 P11040,,,,DEALESVILLE,BOREHOLE 18 (OLD),N/A,N/A,N/A,2012/06/30,TECHNICAL SERVICES,N/A,,MR. W MOREMI,N/A,N/A,2012/06/30,N/A,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28°40.539'S,25°45.548'E,N/A,,,,
A04811,TELEMETRY,N/A,,,TELEMETRY,ACDC DYNAMICS,,,,DEALESVILLE,BOREHOLE 18 (OLD),N/A,N/A,N/A,2012/06/30,TECHNICAL SERVICES,N/A,,MR. W MOREMI,N/A,N/A,2012/06/30,N/A,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28°40.539'S,25°45.548'E,N/A,,,,
A04814,TELEMETRIC,N/A,,,TELEMETRIC,18.5KW TELEMECANIQUE LE3-DL,,,,DEALESVILLE,BOREHOLE 18 (OLD),N/A,N/A,N/A,2012/06/30,TECHNICAL SERVICES,N/A,,MR. W MOREMI,N/A,N/A,2012/06/30,N/A,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28°40.539'S,25°45.548'E,N/A,,,,
A04815,TELEMETRIC,N/A,,,TELEMETRIC,18.5KW TELEMECANIQUE LE3-DL,,,,DEALESVILLE,BOREHOLE 18 (OLD),N/A,N/A,N/A,2012/06/30,TECHNICAL SERVICES,N/A,,MR. W MOREMI,N/A,N/A,2012/06/30,N/A,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28°40.539'S,25°45.548'E,N/A,,,,
,VALVE CHAMBER,N/A,,,VALVE CHAMBER,3M DEEP,,,,DEALESVILLE,BOREHOLE 18 (OLD),N/A,N/A,N/A,2012/06/30,TECHNICAL SERVICES,N/A,,MR. W MOREMI,N/A,N/A,2012/06/30,N/A,N/A,N/A,1.00,N/A,N/A,N/A,2X3.5M,N/A,N/A,N/A,28°40.548'S,25°45.545'E,N/A,,,,
,FENCE,N/A,,,FENCE,N/A,,,,DEALESVILLE,BOREHOLE 18 (OLD),N/A,N/A,N/A,2012/06/30,TECHNICAL SERVICES,N/A,FAIR,MR. W MOREMI,N/A,N/A,2012/06/30,N/A,N/A,N/A,1.00,N/A,N/A,N/A,29X32M,N/A,N/A,N/A,28°40.548'S,25°45.545'E,N/A,,,,
,PUMP 13 (OLD),,,,PUMP 13 (OLD),,,,,DEALESVILLE,BOREHOLE 14 (NEW),N/A,N/A,N/A,2012/06/30,TECHNICAL SERVICES,N/A,,MR. W MOREMI,N/A,N/A,2012/06/30,N/A,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28°39.965'S,25°45.500'E,N/A,,,,
,CLINIC,,,,CLINIC,,,,,DEALESVILLE,KLIPKOPPAN,CLINIC,N/A,N/A,2012/06/30,TECHNICAL SERVICES,N/A,,MR. W MOREMI,N/A,N/A,2012/06/30,N/A,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28°39.886'S,25°45.962'E,N/A,,,,
A04854,LIGHTNING PROTECTOR,N/A,,,LIGHTNING PROTECTOR,11KW 400V CBP CONTROL BOCS PLUS,,,,DEALESVILLE,BOREHOLE 12 (NEW),N/A,N/A,N/A,2012/06/30,TECHNICAL SERVICES,N/A,,MR. W MOREMI,N/A,N/A,2012/06/30,N/A,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28°39.486'S,25°48.188'E,N/A,,,,
,BRICK ENCLOSURE (BROKEN),,,,BRICK ENCLOSURE (BROKEN),,,,,DEALESVILLE,BOREHOLE 4 (OLD),N/A,N/A,N/A,2012/06/30,TECHNICAL SERVICES,N/A,,MR. W MOREMI,N/A,N/A,2012/06/30,N/A,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28°39.973'S,25°47.389'E,N/A,,,,
A04891,PUMP FAROS,N/A,,,PUMP FAROS,15KW MN30250C,,,,DEALESVILLE,KLIPKOPPAN,N/A,N/A,N/A,2012/06/30,TECHNICAL SERVICES,N/A,,MR. W MOREMI,N/A,N/A,2012/06/30,N/A,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,,,,
A04893,ONESTO CONTROL BOX,N/A,,,ONESTO CONTROL BOX,,,,,DEALESVILLE,KLIPKOPPAN,N/A,N/A,N/A,2012/06/30,TECHNICAL SERVICES,N/A,,MR. W MOREMI,N/A,N/A,2012/06/30,N/A,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,,,,
A04892,VALVE,N/A,,,VALVE,1100KPA,,,,DEALESVILLE,KLIPKOPPAN,N/A,N/A,N/A,2012/06/30,TECHNICAL SERVICES,N/A,,MR. W MOREMI,N/A,N/A,2012/06/30,N/A,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,,,,
A04895,FAROS PUMP,N/A,,,FAROS PUMP,15KW MN50/200B,,,,DEALESVILLE,KLIPKOPPAN,N/A,N/A,N/A,2012/06/30,TECHNICAL SERVICES,N/A,,MR. W MOREMI,N/A,N/A,2012/06/30,N/A,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,,,,
A04896,ONESTO VALVE,N/A,,,ONESTO VALVE,N/A,,,,DEALESVILLE,KLIPKOPPAN,N/A,N/A,N/A,2012/06/30,TECHNICAL SERVICES,N/A,,MR. W MOREMI,N/A,N/A,2012/06/30,N/A,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,,,,
A04894,VALVE,N/A,,,VALVE,N/A,,,,DEALESVILLE,KLIPKOPPAN,N/A,N/A,N/A,2012/06/30,TECHNICAL SERVICES,N/A,,MR. W MOREMI,N/A,N/A,2012/06/30,N/A,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,,,,
A04897,TRANSFORMER,975009,,,TRANSFORMER,10KVA,,,,DEALESVILLE,KLIPKOPPAN,N/A,N/A,N/A,2012/06/30,TECHNICAL SERVICES,N/A,,MR. W MOREMI,N/A,N/A,2012/06/30,N/A,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,,,,
A04849,SWITCHBOX,N/A,,,SWITCHBOX,N/A,,,,DEALESVILLE,KLIPKOPPAN,N/A,N/A,N/A,2012/06/30,TECHNICAL SERVICES,N/A,,MR. W MOREMI,N/A,N/A,2012/06/30,N/A,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28°39.995'S,25°47.365'E,N/A,,,,
A04898,SWITCHBOX,N/A,,,SWITCHBOX,N/A,,,,DEALESVILLE,KLIPKOPPAN,N/A,N/A,N/A,2012/06/30,TECHNICAL SERVICES,N/A,,MR. W MOREMI,N/A,N/A,2012/06/30,N/A,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,,,,
A05104,MAIN SWITCH,N/A,,,MAIN SWITCH,N/A,,,,DEALESVILLE,KLIPKOPPAN,N/A,N/A,N/A,2012/06/30,TECHNICAL SERVICES,N/A,,MR. W MOREMI,N/A,N/A,2012/06/30,N/A,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,,,,
A05106,FOROS PUMP,MN321250A,,,FOROS PUMP,15KW ,,,,DEALESVILLE,KLIPKOPPAN,N/A,N/A,N/A,2012/06/30,TECHNICAL SERVICES,N/A,,MR. W MOREMI,N/A,N/A,2012/06/30,N/A,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,,,,
A05107,VALVE,N/A,,,VALVE,N/A,,,,DEALESVILLE,KLIPKOPPAN,N/A,N/A,N/A,2012/06/30,TECHNICAL SERVICES,N/A,,MR. W MOREMI,N/A,N/A,2012/06/30,N/A,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,,,,
,BOREHOLE 1 (OLD),,,,BOREHOLE 1 (OLD),,,,,DEALESVILLE,KLIPKOPPAN,BOREHOLE 1 (OLD),N/A,N/A,2012/06/30,TECHNICAL SERVICES,N/A,,MR. W MOREMI,N/A,N/A,2012/06/30,N/A,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28°39.998'S,25°47.366'E,N/A,,,,
,DAM,N/A,,,DAM,BRICK,,,,DEALESVILLE,TSWARAGANANG,N/A,N/A,N/A,2012/06/30,TECHNICAL SERVICES,N/A,,MR. W MOREMI,N/A,N/A,2012/06/30,N/A,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28°39.260'S,25°46.328'E,N/A,,,,
,BOREHOLE,,,,BOREHOLE,NO PUMP,,,,DEALESVILLE,TSWARAGANANG,N/A,N/A,N/A,2012/06/30,TECHNICAL SERVICES,N/A,,MR. W MOREMI,N/A,N/A,2012/06/30,N/A,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28°39.904'S,25°45.774'E,N/A,,,,
A05168,PUMP SUBMERSIBLE,N/A,,,PUMP SUBMERSIBLE,N/A,,,,HERTOZVILLE,BOREHOLE 24,N/A,N/A,N/A,2012/06/30,TECHNICAL SERVICES,N/A,,MR. W MOREMI,N/A,N/A,2012/06/30,IRRIGATION EQUIPMENT SUPPLIES,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28°07.529'S,25°29.800'E,N/A,,,,
A05166,METER ENCLOSURE,N/A,,,METER ENCLOSURE,N/A,,,,HERTOZVILLE,BOREHOLE 25 (OLD),N/A,N/A,N/A,2012/06/30,TECHNICAL SERVICES,N/A,,MR. W MOREMI,N/A,N/A,2012/06/30,IRRIGATION EQUIPMENT SUPPLIES,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28°07.034'S,25°29.091'E,N/A,,,,
CANNOT TAG,PUMP SUBMERSIBLE,N/A,,,PUMP SUBMERSIBLE,N/A,,,,HERTOZVILLE,BOREHOLE 23 (OLD),N/A,N/A,N/A,2012/06/30,TECHNICAL SERVICES,N/A,,MR. W MOREMI,N/A,N/A,2012/06/30,IRRIGATION EQUIPMENT SUPPLIES,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28°06.265'S,25°28.807'E,N/A,,,,
CANNOT TAG,PUMP SUBMERSIBLE,N/A,,,PUMP SUBMERSIBLE,CONCRETE,,,,HERTOZVILLE,BOREHOLE 18 (OLD) ,N/A,N/A,N/A,2012/06/30,TECHNICAL SERVICES,N/A,,MR. W MOREMI,N/A,N/A,2012/06/30,IRRIGATION EQUIPMENT SUPPLIES,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28°06.315'S,25°28.790'E,N/A,,,,
CANNOT TAG,PUMP SUBMERSIBLE,N/A,,,PUMP SUBMERSIBLE,CONCRETE,,,,HERTOZVILLE,BOREHOLE 19 (OLD),N/A,N/A,N/A,2012/06/30,TECHNICAL SERVICES,N/A,,MR. W MOREMI,N/A,N/A,2012/06/30,IRRIGATION EQUIPMENT SUPPLIES,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28°06.334'S,25°28.739'E,N/A,,,,
,PUMP SUBMERSIBLE,N/A,,,PUMP SUBMERSIBLE,CONCRETE,,,,HERTOZVILLE,BOREHOLE 21 (OLD),N/A,N/A,N/A,2012/06/30,TECHNICAL SERVICES,N/A,,MR. W MOREMI,N/A,N/A,2012/06/30,IRRIGATION EQUIPMENT SUPPLIES,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28°06.334'S,25°28.723'E,N/A,,,,
A05963,BOREHOLE 27,N/A,,,BOREHOLE 27,N/A,YES,,,BOSHOF,SERETSE CEMETRY,N/A,N/A,N/A,2021/06/30,TECHNICAL SERVICES,N/A,GOOD,MR. W MOREMI,N/A,N/A,2012/06/30,IRRIGATION EQUIPMENT SUPPLIES,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28°33.616'S,25°16.247'E,N/A,,,,
A05964,ENCLOSER,N/A,,,ENCLOSER,ZINC,YES,,,BOSHOF,SERETSE CEMETRY,N/A,N/A,N/A,2021/06/30,TECHNICAL SERVICES,N/A,GOOD,MR. W MOREMI,N/A,N/A,2012/06/30,IRRIGATION EQUIPMENT SUPPLIES,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28°33.616'S,25°16.247'E,N/A,,,,
A05962,METER VALVE,N/A,,,METER VALVE,ELSTER 600313,YES,,,BOSHOF,SERETSE CEMETRY,N/A,N/A,N/A,2021/06/30,TECHNICAL SERVICES,N/A,GOOD,MR. W MOREMI,N/A,N/A,2012/06/30,IRRIGATION EQUIPMENT SUPPLIES,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28°33.616'S,25°16.247'E,N/A,,,,
A05961,METER BOX,N/A,,,METER BOX,STEEL,YES,,,BOSHOF,SERETSE CEMETRY,N/A,N/A,N/A,2021/06/30,TECHNICAL SERVICES,N/A,GOOD,MR. W MOREMI,N/A,N/A,2012/06/30,IRRIGATION EQUIPMENT SUPPLIES,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28°33.616'S,25°16.247'E,N/A,,,,
A05785,PUMPROOM,N/A,,,PUMPROOM,BRICKS,YES,,,BOSHOF,BOREHOLE 24,N/A,N/A,N/A,2021/06/30,TECHNICAL SERVICES,N/A,GOOD,MR. W MOREMI,N/A,N/A,2012/06/30,IRRIGATION EQUIPMENT SUPPLIES,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28°31.979'S,25°14.579'E,N/A,,,,
A05781,METER VALVE,N/A,,,METER VALVE,XMLB01A2511,YES,,,BOSHOF,BOREHOLE 24,N/A,N/A,N/A,2021/06/30,TECHNICAL SERVICES,N/A,GOOD,MR. W MOREMI,N/A,N/A,2012/06/30,IRRIGATION EQUIPMENT SUPPLIES,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28°31.979'S,25°14.579'E,N/A,,,,
A05783,METER BOX,N/A,,,METER BOX,STEEL,YES,,,BOSHOF,BOREHOLE 24,N/A,N/A,N/A,2021/06/30,TECHNICAL SERVICES,N/A,GOOD,MR. W MOREMI,N/A,N/A,2012/06/30,IRRIGATION EQUIPMENT SUPPLIES,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28°31.979'S,25°14.579'E,N/A,,,,
A05784,MOTOR,N/A,,,MOTOR,15AMPS,YES,,,BOSHOF,BOREHOLE 24,N/A,N/A,N/A,2021/06/30,TECHNICAL SERVICES,N/A,GOOD,MR. W MOREMI,N/A,N/A,2012/06/30,IRRIGATION EQUIPMENT SUPPLIES,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28°31.979'S,25°14.579'E,N/A,,,,
A05952,BOREHOLE 25 (NEW),,,,BOREHOLE 25 (NEW),N/A,YES,,,BOSHOF,SERETSE,BOREHOLE 25,N/A,N/A,2021/06/30,TECHNICAL SERVICES,N/A,GOOD,MR. W MOREMI,N/A,N/A,2012/06/30,IRRIGATION EQUIPMENT SUPPLIES,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28°33.406'S,25°15.139'E,N/A,,,,
A05960,BOREHOLE 26,N/A,,,BOREHOLE 26,N/A,YES,,,BOSHOF,SERETSE ,BOREHOLE 26,N/A,N/A,2021/06/30,TECHNICAL SERVICES,N/A,GOOD,MR. W MOREMI,N/A,N/A,2012/06/30,IRRIGATION EQUIPMENT SUPPLIES,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28°33.219'S,25°15.337'E,N/A,,,,
A05957,PUMPROOM,N/A,,,PUMPROOM,BRICKS,YES,,,BOSHOF,SERETSE ,BOREHOLE 26,N/A,N/A,2021/06/30,TECHNICAL SERVICES,N/A,GOOD,MR. W MOREMI,N/A,N/A,2012/06/30,IRRIGATION EQUIPMENT SUPPLIES,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28°33.219'S,25°15.337'E,N/A,,,,
A05959,METER VALVE,N/A,,,METER VALVE,11265,YES,,,BOSHOF,SERETSE ,BOREHOLE 26,N/A,N/A,2021/06/30,TECHNICAL SERVICES,N/A,GOOD,MR. W MOREMI,N/A,N/A,2012/06/30,IRRIGATION EQUIPMENT SUPPLIES,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28°33.219'S,25°15.337'E,N/A,,,,
A05958,METER BOX,N/A,,,METER BOX,STEE,YES,,,BOSHOF,SERETSE ,BOREHOLE 26,N/A,N/A,2021/06/30,TECHNICAL SERVICES,N/A,GOOD,MR. W MOREMI,N/A,N/A,2012/06/30,IRRIGATION EQUIPMENT SUPPLIES,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28°33.219'S,25°15.337'E,N/A,,,,
,KAREEHOF WATER,,,,KAREEHOF WATER,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,
